IMPORTER NAME,IMPORTER ADDRESS,COUNTRY,HS CODE,PRODUCT DESCRIPTION,PRODUCT,MAPPED COMMODITY,PRICE 
HENKEL ARGENTINA SOCIEDAD ANONIMA,"Henkel Argentina S.A. \ Doctor Nicolás Avellaneda 1357, San Isidro, Buenos Aires, Argentina",USA,32141010290,OTHERS. CHEWS BASED ON PLASTIC MATERIALS.,Plastic Chews,Plastic Products,Negotiable
ELCA COSMETICOS INC. SUC.ARGENTINA,"ELCA Cosméticos Inc. Suc. Argentina \ San Martín 323, Piso 14, CABA, Buenos Aires, Argentina",China,42029200900,"OTHERS. OTHERS. TRUNKS, SUITCASES (LUGGAGE), M","Luggage (Trunks, Suitcases)",Travel Goods & Luggage,Negotiable
MUNDITOL SA I C E F E I,Munditol S.A. I C E F E I \ [Address not publicly available],USA,84219999990,"OTHERS. THE OTHERS. THE OTHERS. CENTRIFUGES,",Centrifuge Parts,Industrial Machinery,Negotiable
WENLEN SOCIEDAD ANONIMA,"Wenlen Sociedad Anónima \ Estrada 180, Bella Vista, Buenos Aires, Argentina",China,73079100100,THREADED. OTHERS. PIPE ACCESSORIES (FOR EX,Threaded Pipe Accessories,Industrial Hardware,Negotiable
COSMETICOS AVON SOCIEDAD ANONIMA COMERCIAL E INDUSTRIAL,Cosméticos Avon Sociedad Anónima Comercial e Industrial \ [Address not publicly available],Federal Republic of Germany,32064990900,OTHERS. THE OTHERS. OTHER MATTERS COLORING,Coloring Matter,Chemical Products,Negotiable
SYMRISE S.R.L,Symrise S.R.L \ [Address not publicly available],China,29329999900,OTHERS. OTHERS. HETEROCYCLIC COMPOUNDS CO,Heterocyclic Compounds,Pharmaceutical Ingredients,Negotiable
UNISOL SA.,Unisol S.A. \ [Address not publicly available],Vietnam,61034200110,SIZE GREATER THAN 16 OR ITS EQUIVALENTS. PANTAL,Pants (Size > 16),Apparel & Textiles,Negotiable
FARMCITY SA,Farmacity S.A \ [Address not publicly available],China,39249000390,THE OTHERS. SPONGES. OTHERS. DISHES AND OTHER AR,Sponges and Dish Articles,Household Items,Negotiable
SEICOM SA,Seicom S.A \ [Address not publicly available],Israel,39259090916,THICKNESS GREATER THAN 16MM BUT LESS THAN OR EQUAL TO,Thick Plastic Articles (16mm),Plastic Products,Negotiable
COTEMINAS ARGENTINA SOCIEDAD ANONIMA,"Coteminas Argentina Sociedad Anónima \ Cerrito 1136, Piso 12, CABA, Buenos Aires, Argentina",Italy,84158210110,"WITH CAPACITY LESS THAN OR EQUAL TO 2,500 REFRIGERATORS / H","Refrigerators (? 2,500 W)",Home Appliances,Negotiable
NUEVO CENTRAL ARGENTINO SA,"Nuevo Central Argentino S.A \ Av. Alberdi 50, Rosario, Santa Fe, Argentina",Brazil,84833021000,WITH INSIDE DIAMETER GREATER OR EQUAL TO 200 MM. C,Large Bearings (? 200 mm),Mechanical Parts,Negotiable
MAPRIMED SOCIEDAD ANONIMA,Maprimed Sociedad Anónima \ [Address not publicly available],India,29152400900,OTHERS. ACETIC ANHYDRIDE. MONOCARBOXILI ACIDS,Acetic Anhydride,Chemical Products,Negotiable
C.G.R. SOCIEDAD ANONIMA,C.G.R. Sociedad Anónima \ [Address not publicly available],France,73181500990,"OTHERS. THE OTHER SCREWS AND BOLTS, INCLUDING C",Screws and Bolts,Industrial Fasteners,Negotiable
FIRMENICH SAIC Y F,Firmenich SAIC y F \ [Address not publicly available],China,29171990900,"OTHERS. OTHERS. POLYCARBOXYL ACIDS, THEIR",Polycarboxylic Acids,Chemical Products,Negotiable
DE ANGELIS CORINA INES,De Angelis Corina Inés \ [Address not publicly available],China,94054010210,SUITABLE FOR POWER LESS THAN OR EQUAL TO 100 W. D,LED Lamps (? 100 W),Lighting Equipment,Negotiable
NOVATECH SOLUTIONS S.A.,Novatech Solutions S.A. \ [Address not publicly available],China,90291010200,PRODUCTION OR WORKING HOURS COUNTERS. CU,Hour Counters,Measurement Instruments,Negotiable
BPAR S A,BPAR S.A \ [Address not publicly available],USA,84198190900,OTHERS. FOR THE PREPARATION OF HOT BEVERAGES,Hot Beverage Machines,Kitchen Appliances,Negotiable
Incepta Vaccine LIMITED,"changedfrom Incepta Specialties PharmaLIMITED 40, Shahid Tajuddin Ahmed Sa",Thailand,4071900,Birds Fertilised eggs for incubation  EXCL. Of fowls of the species Gallus domesticu SPF EGGS=1000 PCS,Fertilised Eggs,Agricultural Products,Negotiable
S. B. SOLUTION,"3/Ka (3rd & 4th Floor), Pisi Culture Housing Society, Ring Road, Shyamoli; Mohammadpu",China,90278000,"Instruments And Apparatus For Physical Or Chemical Analysis, Nes NUCLEIC ACID  ISOLATION SYSTEM (MODEL:EXM3000)(MAGNETIC BEAD METHOD)",Nucleic Acid System,Laboratory Equipment,Negotiable
SHINEST APPARELS LTD.,"Azim Tower, Plot # 217/1, Beribadh; Mohammadpur PS; Dhaka- 1207; Bangladesh",China,53092900,"Woven Fabrics Of Flax, With <85% Flax, Printed, Dyed Or Coloured 56%LINEN42%COTTON2%SP. FAB56''=4517YDS",Woven Fabrics,Textile Materials,Negotiable
Cross - Link Engineering Limited,"House:19, Road: 02, Block : B , Banasree, Rampura,; Rampura PS; Dha",China,90189090,Other PULSE OXIMETER,Pulse Oximeter,Medical Instruments,Negotiable
HALIMA RASHID TRADING,"9 No. Shahid Tajuddin Ahmed Sarani, Moghbazar; Ramna PS; Dhaka- 1217; Banglade",INDIA,87112011,"Piston engine,capacity >50cc not >250cc,Motorcycle, in CBU with four-stroke engine M/CYCLE YAMAHA MT15 IN CBU WITH 4-STROKE 155 CC",Motorcycle,Motor Vehicles,Negotiable
Bashundhara Food & BeverageIndustries LIMITED,".Pangaon,Konda,SouthKeranigonj,Dhaka-1311; Keraniganj",Italy,85015200,"Ac motors, multi-phase, of an output >750 W-<=75 kW MOTOR",AC Motors,Industrial Machinery,Negotiable
M M KHAN SWEATER,"South Gazirchat, Savar; Ashulia PS; Dhaka-1341; Bangladesh",China,84472000,Flat Knitting Machines; Stitch-Bonding Machines BR. NEW GIANT FOUR AUTO. COMPU. FLAT KNITTING MACHINE,Knitting Machines,Textile Machinery,Negotiable
Matin Spinning Mills Limited,"SARDAGONJ, KASHIMPUR; Gazipur Sadar PS; Gazipur-1700; Bangladesh",Germany,84213999,"Machinery And Apparatus For Filtering Or Purifying Gases, Nes STANDARD SEPARATOR KIT",Gas Machinery,Industrial Machinery,Negotiable
SEALAND SEA FROZEN FISH EXPORT CO.,"BANGLADESH 18,North Adabor; Adabor PS; Dhaka-1207; Bangladesh",China,84515000,"Machines For Reeling, Unreeling, Folding, Cutting... Textile Fabrics SWING ARM CUTTING MACH.WI:ST.ACC.SIZE.900X430M",Textile Machines,Textile Machinery,Negotiable
UNIQUE ENTERPRISE,"146-148, MITFORD ROAD, BISMILLAH TOWER, (SHOP-24,25,26), DHAKA-1211; Chawk Bazar M",China,85094000,Electro-Mechanical Domestic Food Grinders/Mixers/Juice Extractors BLENDER 3 IN1 BRAND: SKY,Food Grinders,Home Appliances,Negotiable
Neoteric Industrial Technocrat Ltd.,"Janata super Market,4th Floor,642 SK Mujib Road,Agrabad,Chittago",United States,84831000,Transmission shafts (incl. cam and crank shafts) and cranks SHAFT ROTATION FOR STEAM TURBINE,Transmission Shafts,Mechanical Components,Negotiable
FATEMA CHAYERA IMPEX & TRADING,"DT Road, City Gate, North Kattoly; Pahartali PS; Chittagong-4202; Ban",France,84295900,"Self-Propelled Bulldozers, Excavators..., Nes USED EXCAVATOR B:CATERPILLAR, M: E120B, 312BL",Used Excavators,Construction Machinery,Negotiable
NANU CORPORATION,"NIKO VIEW, 3205/4926, PRAN HORIDAS ROAD, SARAIPARA, WARD NO#11; Pahartali PS; Chitt",Japan,84295900,"Self-Propelled Bulldozers, Excavators..., Nes USED EXCAVATOR,MO:313BCR,SH135XU-2,PC200LC-7,E120B",Used Excavators,Construction Machinery,Negotiable
Sam Ree Dyeing (Bd.) Ltd.,"Mouza-1248, 268, Plot No. 395, 393, Ghorashal; Palash PS; Narshingdi- 1610",INDIA,84213100,Intake Air Filters For Internal Combustion Engines FILT ELEMENT,Air Filters,Automotive Components,Negotiable
M/S. BEAUTIFUL SEWING MACHINE CO.,"77, Loyal Street, Patuatuli Road,; Kotwali PS; Dhaka- 1100; Bangla",China,84521000,SEWING MACHINES OF THE HOUSEHOLD TYPE FLYING MAN BRAND SEWING MACHINE HEAD WITH ACCESS: BOX,Sewing Machines,Household Appliances,Negotiable
ANTONIO BIJORA,CALLE GERMAN BUSCH #S/N,Brazil,64022000000,FLIP FLOPS GRENDENE S / A,Flip Flops,Footwear,Negotiable
RICARDO MOSTACEDO CAIGUARA,AVENIDA JULIO VILLA #990,China,82041100000,STILSON 12 MAKAWA KEY,Stilson Key,Tools,Negotiable
UNILEVER ANDINA BOLIVIA S.A.,AVENIDA BLANCO GALINDO KM 10.5 #S/N,Peru,34022000000,WAVE DISHWASHER,Dishwasher,Appliances,Negotiable
ALMATEC SRL,AVENIDA AVENIDA 18 DE MAYO #S/N,Brazil,84799000000,GSI SHEET KIT,Sheet Kit,Machinery,Negotiable
LA CUISINE EQUIPAMIENTO DE ESPACIOS,AVENIDA 4TO ANILLO ENTRE NRO S-N BA,Brazil,94017100000,GIRAT CHAIR.Â 20201 CAVALETTI,Girat Chair,Furniture,Negotiable
RENE SURCO MAMANI,CALLE CHAYANTA #883,China,39206100000,ZHEJIANG AOCI DECOR POLYCARBONATE SHEET,Polycarbonate Sheet,Plastic Products,Negotiable
GABY JULIA PASTRANA CHUQUIMIA,AVENIDA BUENOS AIRES #518,China,64041120000,SNEAKERS / SPORTS SHOES / SPORTS SHOES,Sneakers,Footwear,Negotiable
TUM-PAR LTDA,"AVENIDA CRISTO REDENTOR KM 3,5 #S/N",Ecuador,40111010000,TIRES (RIMLESS RIMS) CONTINENTAL,Tires Continental,Tires,Negotiable
